FoodName,Calories_Kcal,Carbohydrate(g),Protein(g),Fat(g),Fiber(g),FoodType
sandwich,271,24.4,10.8,13.9,0.8,snack
fish(soup),72,5.6,7.4,2.2,0,lunch
strawberry,29,5.1,1,0,2,breakfast
strawberry shake,113,18.9,3.4,2.8,0.3,snack
almonds,630,7,21,55.7,7.33,snack
chia seed,500,43.3,16.7,30,33.3,snack
walnut,610,13,15,57,0,snack
bread(white),244,43.9,10.7,3.2,9.2,snack
bread(brown),257,21.4,21.4,12.9,12.9,snack
cheese,483,46.7,6.7,26.7,3.3,lunch
dark chocolate,598,45.9,7.8,42.6,10.9,snack
barley(jau),361,78.3,10.3,1.8,7.1,lunch
uinoa(junelo),361,64.2,14,6,7,lunch
kidney beans,134,22.8,8.7,0.5,6.4,lunch
whey powder,350,6.3,78.1,1.6,3.1,breakfast
turkey(fried),304,0,23,23,0,lunch
popcorn,570,77.6,12.9,25.3,0,snack
turkey(breast),163,0,30.9,3.4,0,lunch
turkey(gravy),51,5.1,2.6,2.1,0.4,lunch
turkey(soup),57,6,4.3,1.9,0,lunch
pineapple,50,13.1,0.5,0.1,1.4,breakfast
pasta,355,72,13,1.7,1.7,snack
tomato soup,72,16,1.6,0,0.8,snack
sushi rolls,158,29.9,4.2,1.9,2.2,snack
roti,446,64.8,21.2,15.2,7.2,lunch
paratha,323,43.3,8.1,14.4,0,snack
potato soup,647,6.6,1,1.8,1,lunch
potato salad,170,20,1.5,9.3,1.3,snack
sneaker,517,59.4,9.4,25.6,0,snack
ginger shoots,35,8.3,0.7,0.3,0.8,breakfast
horlicks,382,78.6,9.6,3.2,4.4,breakfast
boost,80,6.8,6.8,3,1.27,breakfast
hemp(bhango),607,7.1,35.7,49.3,3.57,snack
brinjal,25,5.9,0.9,0.2,3,lunch
bell peppers,31,6,1.3,0.3,2.1,lunch
brussels sprouts,43,9,3.4,0.3,3.8,lunch
zucchini,17,3.1,1.2,0.3,1,lunch
asparagus,20,3.7,2.2,0.2,2.1,lunch
kale,49,9,4.3,0.9,2,lunch
beets,43,9.6,1.6,0.2,2.8,lunch
radish,16,3.4,0.7,0.1,1.6,lunch
onion,40,9.3,1.1,0.1,1.7,lunch
salmon(steam),152,0.8,16,9.6,0,lunch
salmon,247,0,19.4,18.8,0,lunch
shrimps,102,0,24,0.7,0,lunch
tuna,207,0,28.3,10.4,0,lunch
prawn,75,0.1,16.7,0.8,0,lunch
trout fish,185,0,20.4,10.6,0,lunch
crab,102,0,20.2,1.8,0,lunch
diet coke,0,0.1,0,0,0,snack
lime,47,10.5,0.7,0.2,2.8,breakfast
raisin,259,51.9,7.4,1.9,3.7,snack
lentil sprouts,106,22.1,9,0.6,7,lunch
pumpkin leaves(raw),19,2.3,3.2,0.4,0,snack
dried litchis,277,70.7,3.8,1.2,4.6,snack
lahare app(passion fruit),50,7.4,2.2,0.7,15.9,snack
katus(chestnut),200,46.7,3.3,0,10,snack
anjir(fig),74,19.2,0.8,0.3,2.9,snack
amala,125,26.9,1.1,1.6,2.1,snack
blueberry,250,32.1,3.6,14.3,3.6,snack
jaifal(nutmeg),525,28.4,5.8,36.3,0,snack
appricot,48,11.1,1.4,0.4,2,snack
ground apple,52,14,0.3,0.2,2.4,snack
pomegrante juice,54,13.1,0.2,0.3,0.1,breakfast
sharifa,94,24,0,0.3,4.4,snack
dragon fruit,264,82.1,3.6,0,1.8,snack
olive,578,0,0,66,0,snack
kaju(cashew),485,63.6,6.1,24.2,0,snack
okhar(walnut),610,13,15,57,0,snack
bamboo shoots(raw),27,5.2,2.6,0.3,2.2,snack
bamboo shoots(cooked),16,1.9,1.5,0.2,1,lunch
papad,300,65,20,0,10,snack
onion rings fried,407,38.2,5.3,26.7,1.3,snack
aarubukhada(plum),46,11.4,0.7,0.3,1.4,snack
pumpkin leaves(cooked),21,3.4,2.7,0.2,2.7,lunch
potato fry,35,6.1,0.3,1,0,snack
lamb liver(fried),237,0,30.1,12.9,0,lunch
chicken liver(fried),400,33,19,25,1,lunch
chicken liver(cooked),167,1.7,20.7,9.7,0.7,lunch
chicken gizzaard(fried),360,21,20,22,0,lunch
chicken gizzaed(soup),151,13,16.5,3.1,2.29,lunch
kodo ko dhido,383,84.2,7.8,1.3,0,dinner
bamboo shoots(cooked),16,1.9,1.5,0.2,1,dinner
daal,134,24.8,6.4,1,2.53,dinner
White Rice ,331,76,7,0.2,2,dinner
